2026-07-26 15:17:52,251 | INFO | Clock resynced against Binance - offset now -59349ms.
2026-07-26 15:17:52,864 | INFO | Clock resynced against Binance - offset now -59368ms.
2026-07-26 15:17:53,478 | INFO | Bot started. State on load: BotState(status='IN_POSITION', direction='LONG', entry1_order_id=None, entry2_order_id=None, sl_order_id=1000000146621011, tp_order_id=24130289986, atr_at_signal=23.194883170964154, signal_candle_time=1785058860000, tp_level=0, last_resized_qty=0.0758)
2026-07-26 15:17:53,479 | INFO | Running startup reconciliation against Binance...
2026-07-26 15:17:54,206 | WARNING | Reconciliation: found 20 order(s) on BTCUSDT that this bot did NOT place (no matching clientOrderId prefix) - leaving them completely untouched. This bot assumes exclusive control of this symbol; if you're placing orders manually on it too, that assumption breaks.
2026-07-26 15:17:54,400 | WARNING | Reconciliation: found an OPEN LONG position on BTCUSDT (qty 0.075800, entry 64510.45). Clearing this bot's own existing orders and placing fresh protective orders.
2026-07-26 15:17:54,707 | INFO | Cancelled order 24130289986
2026-07-26 15:17:54,708 | INFO | Saved direction/ATR match the live position - keeping tp_level=0 (ladder progress preserved).
2026-07-26 15:17:55,247 | INFO | SL price validated: 64487.20 is safe for market 64519.90
2026-07-26 15:17:55,541 | INFO | Raw SL response: {'algoId': 1000000146623139, 'clientAlgoId': 'x-Cb7ytekJb17cdec020e7ac8b8b6536', 'algoType': 'CONDITIONAL', 'orderType': 'STOP_MARKET', 'symbol': 'BTCUSDT', 'side': 'SELL', 'positionSide': 'BOTH', 'timeInForce': 'GTC', 'quantity': '0.0758', 'algoStatus': 'NEW', 'triggerPrice': '64487.20', 'price': '0.00', 'icebergQuantity': None, 'selfTradePreventionMode': 'EXPIRE_MAKER', 'workingType': 'CONTRACT_PRICE', 'priceMatch': 'NONE', 'closePosition': False, 'priceProtect': False, 'reduceOnly': True, 'createTime': 1785059216096, 'updateTime': 1785059216096, 'triggerTime': 0, 'goodTillDate': 0}
2026-07-26 15:17:55,549 | INFO | Saving SL orderId=1000000146623139 clientOrderId=x-Cb7ytekJb17cdec020e7ac8b8b6536
2026-07-26 15:17:55,874 | INFO | Protective orders set: SL=64487.20 (qty 0.075800), next TP (level 1)=64522.05 (qty 0.022740)
2026-07-26 15:20:28,416 | INFO | Clock resynced against Binance - offset now -59318ms.
2026-07-26 15:20:29,154 | INFO | Clock resynced against Binance - offset now -59317ms.
2026-07-26 15:20:29,741 | INFO | Bot started. State on load: BotState(status='IN_POSITION', direction='LONG', entry1_order_id=None, entry2_order_id=None, sl_order_id=1000000146623139, tp_order_id=24130815612, atr_at_signal=23.194883170964154, signal_candle_time=1785058860000, tp_level=0, last_resized_qty=0.0758)
2026-07-26 15:20:29,741 | INFO | Running startup reconciliation against Binance...
2026-07-26 15:20:30,268 | WARNING | Reconciliation: found 21 order(s) on BTCUSDT that this bot did NOT place (no matching clientOrderId prefix) - leaving them completely untouched. This bot assumes exclusive control of this symbol; if you're placing orders manually on it too, that assumption breaks.
2026-07-26 15:20:30,421 | WARNING | Reconciliation: found an OPEN LONG position on BTCUSDT (qty 0.075800, entry 64510.45). Clearing this bot's own existing orders and placing fresh protective orders.
2026-07-26 15:20:30,622 | INFO | Cancelled order 24130815612
2026-07-26 15:20:30,622 | INFO | Saved direction/ATR match the live position - keeping tp_level=0 (ladder progress preserved).
